TSO names,Country,TSO bidding-zone-code,TSO EIC code,Area Code
TTG,Germany,10Y1001A1001A82H,10XDE-EON-NETZ-C,10YDOM-1010A0213
50H,Germany,10Y1001A1001A82H,10YDE-VE-------2,10YDE-VE-------2
Amprion,Germany,10Y1001A1001A82H,10XDE-RWENET---W,10YDE-RWENET---I
TransnetBW,Germany,10Y1001A1001A82H,10XDE-ENBW--TNGX,10YDE-ENBW-----N
RTE,France,10YFR-RTE------C,10XFR-RTE------Q,10Y1001C--00083S
Elia,Belgium,10YBE----------2,10X1001A1001A094,10YCB-BE-------T
TTN,Netherlands,10YNL----------L,10X1001A1001A361,49Y000000000003M
PSE,Poland,10YPL-AREA-----S,10XPL-TSO------P,10Y1001C--00153X
APG,Austria,10YAT-APG------L,10XAT-APG------Z,10YDOM-1010A019R
CEPS,Czech Republic,10YCZ-CEPS-----N,10XCZ-CEPS-GRIDE,10YCZ-CEPS-----N
ELES,Slovenia,10YSI-ELES-----O,10XSI-ELES-----1,10YSI-ELES-----O
HOPS,Croatia,10YHR-HEP------M,10XHR-HEP-OPS--A,10XHR-HEP-OPS--A
MAVIR,Hungary,10YHU-MAVIR----U,10X1001A1001A329,10YHU-MAVIR----U
SEPS,Slovakia,10YSK-SEPS-----K,10XSK-SEPS-GRIDB,10YSK-SEPS-----K
